# ID,label,height,mean_z,std_z,root_density,area,shape_index,circularity,elongation_xy,slenderness,rectangularity,footprint_density,bbox_volume,point_density_3d,lower_fraction,middle_fraction,upper_fraction,top_roughness,linearity,planarity,sphericity,anisotropy,curvature
 21.000000,  0.000000,  4.369999, 14.724540,  0.784329,  0.000908,188.952560,  3.480714,  0.805738,  1.554669,  0.224332,  0.774128, 34.977032,1066.649048,  6.196040,  0.040399,  0.479044,  0.480557,  0.081688,  0.230740,  0.733931,  0.035288,  0.964671,  0.019556
 22.000000,  0.000000,  8.130000,  9.057936,  1.794785,  0.000498,470.964783,  5.410435,  0.781063,  2.259764,  0.234226,  0.883370, 38.363800,4334.474121,  4.168441,  0.204007,  0.333407,  0.462586,  0.314858,  0.211100,  0.709638,  0.079239,  0.920738,  0.042416
 23.000000,  0.000000,  8.380000, 11.635509,  1.732390,  0.000556,389.764984,  5.055199,  0.823917,  1.178627,  0.377988,  0.934649, 36.896591,3494.605225,  4.115200,  0.027258,  0.397747,  0.574995,  0.181720,  0.090899,  0.878377,  0.030693,  0.969276,  0.015823
 24.000000,  0.000000,  4.660000, 12.337019,  0.613502,  0.001318,215.418411,  3.802905,  0.843642,  1.099068,  0.281912,  0.866487, 35.215187,1158.528809,  6.547960,  0.019773,  0.333377,  0.646849,  0.089584,  0.267561,  0.526505,  0.205891,  0.794066,  0.106223
 25.000000,  0.000000,  2.120000,  9.335854,  0.501316,  0.000581,110.510117,  2.740393,  0.853952,  1.257407,  0.172218,  0.916985, 31.137417,255.490936, 13.468187,  0.219122,  0.409183,  0.371694,  0.055589,  0.433478,  0.534304,  0.032186,  0.967782,  0.020133
 26.000000,  0.000000,  7.720000,  8.849182,  1.807701,  0.000411,249.506653,  4.329306,  0.943984,  1.090562,  0.383888,  0.672835, 39.045052,2862.798096,  3.402964,  0.118046,  0.388216,  0.493738,  0.241512,  0.194572,  0.715325,  0.090060,  0.909897,  0.047514
 27.000000,  0.000000,  3.030000, 11.467015,  0.326689,  0.002735, 80.210770,  2.356354,  0.869878,  1.233067,  0.282122,  0.857451, 27.352932,283.443054,  7.740532,  0.016408,  0.220602,  0.762990,  0.075591,  0.340511,  0.571978,  0.087477,  0.912489,  0.050075
 28.000000,  0.000000,  5.610001, 14.807849,  0.868665,  0.001021,181.708435,  3.550383,  0.871737,  1.072819,  0.377016,  0.880431, 37.714264,1157.823608,  5.918864,  0.050635,  0.490588,  0.458777,  0.118816,  0.221461,  0.483970,  0.294524,  0.705431,  0.142075
 29.000000,  0.000000,  4.310000,  8.253902,  0.529240,  0.000407,294.146362,  4.378623,  0.819071,  1.347774,  0.189784,  0.768681, 33.415337,1649.280762,  5.959568,  0.010988,  0.539119,  0.449893,  0.084042,  0.585674,  0.351736,  0.062562,  0.937410,  0.042361
 30.000000,  0.000000,  7.489999, 16.229315,  1.170268,  0.000302,269.603577,  4.288096,  0.857064,  1.025153,  0.408397,  0.821705, 36.846687,2457.487305,  4.042340,  0.076706,  0.323233,  0.600060,  0.241879,  0.572888,  0.289570,  0.137517,  0.862458,  0.087893
